scenario_id,simulation_id,accident_year,basis,expected_loss_prior_ultimate,standard_paid_proportion,standard_bf_reserve,break_aware_paid_proportion,break_aware_bf_reserve,paid_proportion_difference,reserve_difference_old_minus_break_aware
long_stable_break,27,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,27,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,27,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,27,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,27,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,27,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,27,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,27,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,27,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,27,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,27,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,27,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,27,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,27,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,28,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,28,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,28,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,28,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,28,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,28,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,28,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,28,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,28,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,28,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,28,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,28,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,28,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,28,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,29,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,29,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,29,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,29,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,29,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,29,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,29,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,29,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,29,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,29,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,29,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,29,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,29,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,29,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,30,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,30,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,30,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,30,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,30,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,30,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,30,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,30,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,30,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,30,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,30,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,30,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,30,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,30,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,31,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,31,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,31,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,31,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,31,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,31,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,31,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,31,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,31,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,31,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,31,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,31,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,31,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,31,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,32,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,32,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,32,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,32,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,32,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,32,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,32,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,32,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,32,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,32,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,32,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,32,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,32,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,32,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,33,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,33,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,33,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,33,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,33,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,33,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,33,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,33,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,33,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
long_stable_break,33,2020,gross,142404342.28372154,0.66,48417476.37646532,0.8400000000000001,22784694.765395433,0.18000000000000005,25632781.611069888
long_stable_break,33,2021,gross,147626847.88170663,0.5700000000000001,63479544.58913384,0.74,38382980.449243724,0.16999999999999993,25096564.139890112
long_stable_break,33,2022,gross,154039627.68489638,0.43,87802587.78039095,0.5800000000000001,64696643.62765647,0.15000000000000008,23105944.15273448
long_stable_break,33,2023,gross,158988348.51103905,0.24000000000000002,120831144.86838968,0.35000000000000003,103342426.53217536,0.11000000000000001,17488718.33621432
long_stable_break,33,2024,gross,165695238.64731777,0.04,159067429.10142505,0.08,152439619.55553237,0.04,6627809.545892686
long_stable_break,34,2018,ceded,30943198.2916456,0.79,6498071.641245576,0.9400000000000001,1856591.8974987343,0.15000000000000002,4641479.743746841
long_stable_break,34,2019,ceded,33550930.87385185,0.73,9058751.33594,0.9,3355093.087385184,0.17000000000000004,5703658.248554816
long_stable_break,34,2020,ceded,37773204.11433067,0.66,12842889.398872428,0.8400000000000001,6043712.6582929045,0.18000000000000005,6799176.740579523
long_stable_break,34,2021,ceded,41541081.47161042,0.5700000000000001,17862665.03279248,0.74,10800681.18261871,0.16999999999999993,7061983.8501737695
long_stable_break,34,2022,ceded,45918392.86902863,0.43,26173483.93534632,0.5800000000000001,19285725.00499202,0.15000000000000008,6887758.930354301
long_stable_break,34,2023,ceded,50298031.47442363,0.24000000000000002,38226503.92056196,0.35000000000000003,32693720.458375357,0.11000000000000001,5532783.462186605
long_stable_break,34,2024,ceded,55633524.22761876,0.04,53408183.25851401,0.08,51182842.289409265,0.04,2225340.9691047445
long_stable_break,34,2018,gross,130689144.48843049,0.79,27444720.342570398,0.9400000000000001,7841348.669305822,0.15000000000000002,19603371.673264578
long_stable_break,34,2019,gross,134860025.69951147,0.73,36412206.9388681,0.9,13486002.569951143,0.17000000000000004,22926204.368916955
